state,year,model,c0,c0_c1,a,gde,rss,r2
MG,2018,Gau,0.0321,0.068,19.58,0.4720588235294117,0.0086,0.899
MT,2018,Gau,0.0321,0.068,19.58,0.4720588235294117,0.0086,0.899
MS,2018,Gau,0.0321,0.068,19.58,0.4720588235294117,0.0086,0.899
GO,2018,Gau,0.0321,0.068,19.58,0.4720588235294117,0.0086,0.899
PA,2018,Gau,0.0321,0.068,19.58,0.4720588235294117,0.0086,0.899
DF,2018,Gau,0.0321,0.068,19.58,0.4720588235294117,0.0086,0.899
