state,year,model,c0,c0_c1,a,gde,rss,r2
MG,2020,Gau,266.4829,1056718.4595,2077.45,2.521796582659205e-4,4303373.6198,-0.9319
MT,2020,Gau,266.4829,1056718.4595,2077.45,2.521796582659205e-4,4303373.6198,-0.9319
MS,2020,Gau,266.4829,1056718.4595,2077.45,2.521796582659205e-4,4303373.6198,-0.9319
GO,2020,Gau,266.4829,1056718.4595,2077.45,2.521796582659205e-4,4303373.6198,-0.9319
PA,2020,Gau,266.4829,1056718.4595,2077.45,2.521796582659205e-4,4303373.6198,-0.9319
DF,2020,Gau,266.4829,1056718.4595,2077.45,2.521796582659205e-4,4303373.6198,-0.9319
