state,year,model,c0,c0_c1,a,gde,rss,r2
MG,2019,Exp,0,2.0976,0.93,0,21270.5264,0.4848
MT,2019,Exp,0,2.0976,0.93,0,21270.5264,0.4848
MS,2019,Exp,0,2.0976,0.93,0,21270.5264,0.4848
GO,2019,Exp,0,2.0976,0.93,0,21270.5264,0.4848
PA,2019,Exp,0,2.0976,0.93,0,21270.5264,0.4848
DF,2019,Exp,0,2.0976,0.93,0,21270.5264,0.4848
