state,year,model,c0,c0_c1,a,gde,rss,r2
MG,2017,Sph,227.0712,1183.3665,148.29,0.19188577672259607,11277217.1003,0.7174
MT,2017,Sph,227.0712,1183.3665,148.29,0.19188577672259607,11277217.1003,0.7174
MS,2017,Sph,227.0712,1183.3665,148.29,0.19188577672259607,11277217.1003,0.7174
GO,2017,Sph,227.0712,1183.3665,148.29,0.19188577672259607,11277217.1003,0.7174
PA,2017,Sph,227.0712,1183.3665,148.29,0.19188577672259607,11277217.1003,0.7174
DF,2017,Sph,227.0712,1183.3665,148.29,0.19188577672259607,11277217.1003,0.7174
