state,year,model,c0,c0_c1,a,gde,rss,r2
MG,2017,Exp,0.0531,1.3943,0.91,0.038083626192354586,7285.1067,0.0319
MT,2017,Exp,0.0531,1.3943,0.91,0.038083626192354586,7285.1067,0.0319
MS,2017,Exp,0.0531,1.3943,0.91,0.038083626192354586,7285.1067,0.0319
GO,2017,Exp,0.0531,1.3943,0.91,0.038083626192354586,7285.1067,0.0319
PA,2017,Exp,0.0531,1.3943,0.91,0.038083626192354586,7285.1067,0.0319
DF,2017,Exp,0.0531,1.3943,0.91,0.038083626192354586,7285.1067,0.0319
