state,year,model,c0,c0_c1,a,gde,rss,r2
MG,2015,Gau,250.3906,352.6542,20.81,0.7100173484393494,345222.3559,0.6216
MT,2015,Gau,250.3906,352.6542,20.81,0.7100173484393494,345222.3559,0.6216
MS,2015,Gau,250.3906,352.6542,20.81,0.7100173484393494,345222.3559,0.6216
GO,2015,Gau,250.3906,352.6542,20.81,0.7100173484393494,345222.3559,0.6216
PA,2015,Gau,250.3906,352.6542,20.81,0.7100173484393494,345222.3559,0.6216
DF,2015,Gau,250.3906,352.6542,20.81,0.7100173484393494,345222.3559,0.6216
